Signal,State,Switch time,Type,Script
CLEAR = [ TRACKCIRCUIT TC3121 ROUTE_LOCKED_DOWN ];
N10238,ON,1,2 Aspect,CLEAR = [ ROUTE R5110 SET ];
CLEAR = [ ROUTE R5240 SET ];
CLEAR = [ TRACKCIRCUIT TC3122 ROUTE_LOCKED_UP ];
CLEAR = [ TRACKCIRCUIT TC3122 ROUTE_LOCKED_DOWN ];
N10239,ON,1,2 Aspect,CLEAR = [ ROUTE R3840 SET ];
CLEAR = [ ROUTE R5099 SET ];

N10240,ON,1,2 Aspect,CLEAR = [ ROUTE R3849 SET ];
CLEAR = [ ROUTE R3850 SET ];
CLEAR = [ ROUTE R5087 SET ];
CLEAR = [ ROUTE R5096 SET ];
CLEAR = [ ROUTE R5100 SET ];

N10242,ON,1,2 Aspect,CLEAR = [ ROUTE R3867 SET ];

N10243,ON,1,2 Aspect,CLEAR = [ ROUTE R3877 SET ];

N10245,ON,1,2 Aspect,CLEAR = [ ROUTE R3904 SET ];
CLEAR = [ ROUTE R5101 SET ];
CLEAR = [ ROUTE R5107 SET ];
CLEAR = [ ROUTE R5289 SET ];
CLEAR = [ ROUTE RG7269 SET ];

N10247,ON,1,2 Aspect,CLEAR = [ ROUTE R3892 SET ];
CLEAR = [ ROUTE R5088 SET ];
CLEAR = [ ROUTE R5095 SET ];
CLEAR = [ ROUTE R5103 SET ];
CLEAR = [ ROUTE R5273 SET ];
CLEAR = [ ROUTE R5275 SET ];
CLEAR = [ ROUTE R5292 SET ];

N10248,ON,1,2 Aspect,CLEAR = [ ROUTE R3843 SET ];
CLEAR = [ ROUTE R3881 SET ];
CLEAR = [ ROUTE R5115 SET ];
CLEAR = [ ROUTE R5200 SET ];

N10253,ON,1,2 Aspect,CLEAR = [ ROUTE R3828 SET ];

N10254,ON,1,2 Aspect,CLEAR = [ ROUTE R3829 SET ];

N10255,ON,1,2 Aspect,CLEAR = [ ROUTE R3865 SET ];
CLEAR = [ ROUTE R3876 SET ];
CLEAR = [ ROUTE R5113 SET ];

N10258,ON,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC3153 ROUTE_LOCKED_UP ];
CLEAR = [ TRACKCIRCUIT TC3153 ROUTE_LOCKED_DOWN ];
N10266,ON,1,2 Aspect,CLEAR = [ ROUTE R3826 SET ];
CLEAR = [ ROUTE R3893 SET ];
CLEAR = [ ROUTE R5185 SET ];
CLEAR = [ ROUTE R5229 SET ];
CLEAR = [ ROUTE R5259 SET ];

N10267,ON,1,2 Aspect,CLEAR = [ ROUTE R3827 SET ];
CLEAR = [ ROUTE R3839 SET ];
CLEAR = [ ROUTE R3894 SET ];
CLEAR = [ ROUTE R5186 SET ];
CLEAR = [ ROUTE R5230 SET ];
CLEAR = [ ROUTE R5262 SET ];

N10424,ON,1,2 Aspect,CLEAR = [ ROUTE R3868 SET ];

N10425,ON,1,2 Aspect,CLEAR = [ ROUTE R3870 SET ];

N10426,ON,1,2 Aspect,CLEAR = [ ROUTE R3869 SET ];
CLEAR = [ ROUTE R3872 SET ];
CLEAR = [ ROUTE R3873 SET ];
CLEAR = [ ROUTE R3895 SET ];
CLEAR = [ ROUTE R5187 SET ];
CLEAR = [ ROUTE R5231 SET ];
CLEAR = [ ROUTE R5261 SET ];

N10427,ON,1,2 Aspect,CLEAR = [ ROUTE R5079 SET ];

N10428,ON,1,2 Aspect,CLEAR = [ ROUTE R3874 SET ];
CLEAR = [ ROUTE R3875 SET ];
CLEAR = [ ROUTE R5188 SET ];
CLEAR = [ ROUTE R5232 SET ];
CLEAR = [ ROUTE R5260 SET ];

N10458,ON,1,2 Aspect,CLEAR = [ ROUTE R5155 SET ];
CLEAR = [ ROUTE R5213 SET ];
CLEAR = [ TRACKCIRCUIT TC3077 ROUTE_LOCKED_UP ];
CLEAR = [ TRACKCIRCUIT TC3077 ROUTE_LOCKED_DOWN ];

N10459,ON,1,2 Aspect,CLEAR = [ ROUTE R5212 SET ];

N10490,ON,1,2 Aspect,CLEAR = [ ROUTE R3883 SET ];
CLEAR = [ ROUTE R3891 SET ];
CLEAR = [ ROUTE R5104 SET ];
CLEAR = [ ROUTE R5108 SET ];
CLEAR = [ ROUTE R5153 SET ];
