Track circuit,Description,ID,State,Last locked for Route
TC248,TC248: Paths = P488 P1180 P1181 P559 P591 P592 P558 P1176 P1177 P536,null,CLEAR,
TC249,TC249: Paths = P489 P1175 P1174 P557 P457 P594 P593 P1179 P1178,null,CLEAR,
TC250,TC250: Paths = P490 P534,null,CLEAR,
TC251,TC251: Paths = P491 P598 P597 P535,null,CLEAR,
TC252,TC252: Paths = P492 P601 P602 P539,null,CLEAR,
TC253,TC253: Paths = P493 P537,null,CLEAR,
TC254,TC254: Paths = P494 P595 P596,null,CLEAR,
TC255,TC255: Paths = P495 P458 P1129 P1130 P561 P599 P600 P1133 P1134,null,CLEAR,
TC256,TC256: Paths = P538,null,CLEAR,
TC257,TC257: Paths = P496 P1132 P1131 P562 P560 P1128 P1127,null,CLEAR,
TC258,TC258: Paths = P497 P541,null,CLEAR,
TC259,TC259: Paths = P498 P540,null,CLEAR,
TC260,TC260: Paths = P499 P460 P461 P603 P604,null,CLEAR,
TC261,TC261: Paths = P500 P459 P606 P605 P542,null,CLEAR,
TC262,TC262: Paths = P501 P543,null,CLEAR,
TC263,TC263: Paths = P502 P544,null,CLEAR,
TC264,TC264: Paths = P503 P1163 P1164 P564 P1159 P1160 P607 P547,null,CLEAR,
TC265,TC265: Paths = P563 P1162 P1161 P609 P608,null,CLEAR,
TC266,TC266: Paths = P1157 P1158 P545,null,CLEAR,
TC267,TC267: Paths = P504 P463 P548,null,CLEAR,
TC268,TC268: Paths = P505 P610 P611 P551,null,CLEAR,
TC269,TC269: Paths = P506 P613 P612 P462 P546,null,CLEAR,
TC270,TC270: Paths = P508 P639,null,CLEAR,
TC271,TC271: Paths = P509 P568 P569 P573 P1120 P1121 P617,null,CLEAR,
TC272,TC272: Paths = P637,null,CLEAR,
TC273,TC273: Paths = P510 P1119 P1118 P572 P567 P614 P621,null,CLEAR,
TC274,TC274: Paths = P511 P552,null,CLEAR,
TC275,TC275: Paths = P512 P467 P1095,null,CLEAR,
TC276,TC276: Paths = P513 P615 P616 P466 P783,null,CLEAR,
TC277,TC277: Paths = P528 P589 P590 P532,null,CLEAR,
TC278,TC278: Paths = P531 P533,null,CLEAR,
TC279,TC279: Paths = P619,null,CLEAR,
TC280,TC280: Paths = P553 P436 P437 P464 P465 P749,null,CLEAR,
TC281,TC281: Paths = P554 P618,null,CLEAR,
TC282,TC282: Paths = P620 P645,null,CLEAR,
TC283,TC283: Paths = P666 P883,null,CLEAR,
TC284,TC284: Paths = P667 P669 P671 P673 P675 P872 P873 P676 P678 P680 P682 P890 P891 P738 P874,null,CLEAR,
TC285,TC285: Paths = P742 P660 P866 P865 P831 P868 P1168 P1167 P760,null,CLEAR,
TC286,TC286: Paths = P743 P724 P815,null,CLEAR,
TC287,TC287: Paths = P857 P858,null,CLEAR,
TC288,TC288: Paths = P744 P723 P745,null,CLEAR,
TC289,TC289: Paths = P818,null,CLEAR,
TC290,TC290: Paths = P856 P855,null,CLEAR,
TC291,TC291: Paths = P797 P798 P725 P726 P728 P835 P836 P661 P765,null,CLEAR,
TC292,TC292: Paths = P851 P852,null,CLEAR,
TC293,TC293: Paths = P799 P800 P727 P763,null,CLEAR,
TC294,TC294: Paths = P816,null,CLEAR,
TC295,TC295: Paths = P854 P853,null,CLEAR,
TC296,TC296: Paths = P746 P708 P784,null,CLEAR,
TC297,TC297: Paths = P747 P819 P820 P711 P712 P649 P650 P787,null,CLEAR,
TC298,TC298: Paths = P748 P871 P1141 P1142 P823 P824 P653 P714 P715 P654 P791,null,CLEAR,
TC299,TC299: Paths = P1136 P1135 P651 P788,null,CLEAR,
TC300,TC300: Paths = P750 P707 P781,null,CLEAR,
TC301,TC301: Paths = P751 P822 P821 P648 P710 P709 P782,null,CLEAR,
TC302,TC302: Paths = P752 P785,null,CLEAR,
TC303,TC303: Paths = P753 P713 P826 P825 P652 P1140 P1139 P870 P869 P1138 P1137 P786,null,CLEAR,
TC304,TC304: Paths = P754 P789,null,CLEAR,
TC305,TC305: Paths = P755 P719 P718 P792,null,CLEAR,
TC306,TC306: Paths = P756 P827 P828 P722 P656 P657 P795,null,CLEAR,
TC307,TC307: Paths = P757 P830 P829 P721 P720 P655 P717 P716 P790,null,CLEAR,
TC308,TC308: Paths = P758 P793,null,CLEAR,
TC309,TC309: Paths = P759 P658 P796,null,CLEAR,
TC310,TC310: Paths = P761 P864 P863 P832 P867 P1166 P1165 P659 P794,null,CLEAR,
TC311,TC311: Paths = P762 P817,null,CLEAR,
TC312,TC312: Paths = P764 P729 P833 P834 P731 P732 P662 P664 P803,null,CLEAR,
TC313,TC313: Paths = P766 P730 P801,null,CLEAR,
TC314,TC314: Paths = P767 P734 P804,null,CLEAR,
